<DATE>,<TIME>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOLUME>
2011-08-19,0,125.05,125.05,125.05,125.05,
2011-08-22,0,125.0,125.0,125.0,125.0,
2011-08-23,0,124.95,124.95,124.95,124.95,
2011-08-24,0,124.9,124.9,124.9,124.9,
2011-08-25,0,124.85,124.85,124.85,124.85,
2011-08-29,0,124.4,124.4,124.4,124.4,
2011-08-30,0,124.7,124.7,124.7,124.7,
2011-08-31,0,125.65,125.65,125.65,125.65,
2011-09-01,0,126.2,126.2,126.2,126.2,
2011-09-02,0,126.15,126.15,126.15,126.15,
2011-09-06,0,126.2,126.2,126.2,126.2,
2011-09-07,0,126.2,126.2,126.2,126.2,
2011-09-08,0,126.0,126.0,126.0,126.0,
2011-09-09,0,125.3,125.3,125.3,125.3,
2011-09-12,0,125.05,125.05,125.05,125.05,
2011-09-13,0,124.65,124.65,124.65,124.65,
2011-09-14,0,124.4,124.4,124.4,124.4,
2011-09-15,0,124.5,124.5,124.5,124.5,
2011-09-16,0,124.5,124.5,124.5,124.5,
2011-09-19,0,124.45,124.45,124.45,124.45,
2011-09-20,0,124.2,124.2,124.2,124.2,
2011-09-21,0,124.2,124.2,124.2,124.2,
2011-09-22,0,124.0,124.0,124.0,124.0,
2011-09-23,0,123.95,123.95,123.95,123.95,
2011-09-26,0,123.9,123.9,123.9,123.9,
2011-09-27,0,123.65,123.65,123.65,123.65,
2011-09-28,0,123.55,123.55,123.55,123.55,
2011-09-29,0,123.45,123.45,123.45,123.45,
2011-10-03,0,119.8,119.8,119.8,119.8,
2011-10-04,0,118.1,118.1,118.1,118.1,
2011-10-05,0,118.25,118.25,118.25,118.25,
2011-10-06,0,118.85,118.85,118.85,118.85,
2011-10-07,0,118.7,118.7,118.7,118.7,
2011-10-10,0,118.9,118.9,118.9,118.9,
2011-10-11,0,118.85,118.85,118.85,118.85,
2011-10-12,0,118.95,118.95,118.95,118.95,
2011-10-13,0,117.75,117.75,117.75,117.75,
2011-10-14,0,117.9,117.9,117.9,117.9,
2011-10-17,0,117.9,117.9,117.9,117.9,
2011-10-18,0,117.0,117.0,117.0,117.0,
2011-10-19,0,116.25,116.25,116.25,116.25,
2011-10-20,0,116.25,116.25,116.25,116.25,
2011-10-21,0,117.0,117.0,117.0,117.0,
2011-10-24,0,117.15,117.15,117.15,117.15,
2011-10-25,0,117.3,117.3,117.3,117.3,
2011-10-26,0,117.15,117.15,117.15,117.15,
2011-10-27,0,117.45,117.45,117.45,117.45,
2011-10-31,0,117.7,117.7,117.7,117.7,
2011-11-01,0,116.5,116.5,116.5,116.5,0.01K
2011-11-02,0,116.5,116.5,116.5,116.5,
2011-11-03,0,117.4,117.4,117.4,117.4,
2011-11-04,0,117.55,117.55,117.55,117.55,
2011-11-07,0,117.75,117.75,117.75,117.75,
2011-11-08,0,117.5,117.5,117.5,117.5,
2011-11-09,0,116.9,116.9,116.9,116.9,
2011-11-10,0,116.6,116.6,116.6,116.6,
2011-11-11,0,116.6,116.6,116.6,116.6,
2011-11-14,0,116.45,116.45,116.45,116.45,
2011-11-15,0,116.4,116.4,116.4,116.4,
2011-11-16,0,116.45,116.45,116.45,116.45,
2011-11-17,0,116.4,116.4,116.4,116.4,
2011-11-18,0,116.35,116.35,116.35,116.35,
2011-11-21,0,116.2,116.2,116.2,116.2,
2011-11-22,0,116.2,116.2,116.2,116.2,
2011-11-23,0,116.15,116.15,116.15,116.15,
2011-11-28,0,111.2,111.2,111.2,111.2,
2011-11-29,0,111.1,111.1,111.1,111.1,0.01K
2011-11-30,0,112.0,112.0,112.0,112.0,
2011-12-01,0,111.95,111.95,111.95,111.95,0.04K
2011-12-02,0,112.1,112.1,112.1,112.1,
2011-12-05,0,112.1,112.1,112.1,112.1,
2011-12-06,0,111.75,111.75,111.75,111.75,0.03K
2011-12-07,0,111.35,111.35,111.35,111.35,0.06K
2011-12-08,0,111.15,111.15,111.15,111.15,
2011-12-09,0,111.2,111.2,111.2,111.2,
2011-12-12,0,111.4,111.4,111.4,111.4,0.10K
2011-12-13,0,111.4,111.4,111.4,111.4,
2011-12-14,0,111.2,111.2,111.2,111.2,
2011-12-15,0,111.0,111.0,111.0,111.0,
2011-12-16,0,111.05,111.05,111.05,111.05,
2011-12-19,0,111.1,111.1,111.1,111.1,
2011-12-20,0,111.1,111.1,111.1,111.1,
2011-12-21,0,111.15,111.15,111.15,111.15,
2011-12-22,0,111.2,111.2,111.2,111.2,
2011-12-23,0,111.25,111.25,111.25,111.25,
2011-12-27,0,111.25,111.25,111.25,111.25,
2011-12-28,0,111.3,111.3,111.3,111.3,
2011-12-29,0,111.4,111.4,111.4,111.4,
2012-01-03,0,109.45,109.45,109.45,109.45,0.03K
2012-01-04,0,109.6,109.6,109.6,109.6,0.02K
2012-01-05,0,110.1,110.1,110.1,110.1,0.02K
2012-01-06,0,110.05,110.05,110.05,110.05,0.14K
2012-01-09,0,109.55,109.55,109.55,109.55,0.01K
2012-01-10,0,109.0,109.0,109.0,109.0,0.03K
2012-01-11,0,108.5,108.5,108.5,108.5,
2012-01-12,0,108.3,108.3,108.3,108.3,0.02K
2012-01-13,0,107.4,107.4,107.4,107.4,
2012-01-17,0,106.6,106.6,106.6,106.6,0.02K
2012-01-18,0,106.7,106.7,106.7,106.7,
2012-01-19,0,106.7,106.7,106.7,106.7,
2012-01-20,0,106.55,106.55,106.55,106.55,
2012-01-23,0,106.4,106.4,106.4,106.4,
2012-01-24,0,106.3,106.3,106.3,106.3,
2012-01-25,0,106.25,106.25,106.25,106.25,
2012-01-26,0,106.1,106.1,106.1,106.1,
2012-01-30,0,105.45,105.45,105.45,105.45,
2012-01-31,0,102.95,102.95,102.95,102.95,
2012-02-01,0,101.1,101.1,101.1,101.1,0.01K
2012-02-02,0,101.8,101.8,101.8,101.8,
2012-02-03,0,101.35,101.35,101.35,101.35,
2012-02-06,0,100.95,100.95,100.95,100.95,
2012-02-07,0,100.3,100.3,100.3,100.3,
2012-02-08,0,99.8,99.8,99.8,99.8,
2012-02-09,0,99.75,99.75,99.75,99.75,
2012-02-10,0,99.35,99.35,99.35,99.35,
2012-02-13,0,99.2,99.2,99.2,99.2,
2012-02-14,0,99.15,99.15,99.15,99.15,0.01K
2012-02-15,0,99.05,99.05,99.05,99.05,
2012-02-16,0,99.15,99.15,99.15,99.15,
2012-02-17,0,99.25,99.25,99.25,99.25,
2012-02-21,0,99.3,99.3,99.3,99.3,0.03K
2012-02-22,0,99.35,99.35,99.35,99.35,0.02K
2012-02-23,0,99.4,99.4,99.4,99.4,0.01K
2012-02-27,0,100.75,100.75,100.75,100.75,0.03K
2012-02-28,0,99.05,99.05,99.05,99.05,0.02K
2012-02-29,0,97.75,97.75,97.75,97.75,0.06K
2012-03-01,0,97.15,97.15,97.15,97.15,0.02K
2012-03-02,0,96.55,96.55,96.55,96.55,
2012-03-05,0,96.85,96.85,96.85,96.85,
2012-03-06,0,96.75,96.75,96.75,96.75,
2012-03-07,0,97.05,97.05,97.05,97.05,
2012-03-08,0,97.45,97.45,97.45,97.45,
2012-03-09,0,97.3,97.3,97.3,97.3,
2012-03-12,0,97.1,97.1,97.1,97.1,
2012-03-13,0,97.05,97.05,97.05,97.05,
2012-03-14,0,96.8,96.8,96.8,96.8,
2012-03-15,0,96.75,96.75,96.75,96.75,
2012-03-16,0,96.8,96.8,96.8,96.8,
2012-03-19,0,96.8,96.8,96.8,96.8,
2012-03-20,0,96.75,96.75,96.75,96.75,
2012-03-21,0,96.75,96.75,96.75,96.75,
2012-03-22,0,96.75,96.75,96.75,96.75,
2012-03-23,0,96.65,96.65,96.65,96.65,
2012-03-26,0,96.65,96.65,96.65,96.65,
2012-03-27,0,96.75,96.75,96.75,96.75,
2012-03-28,0,96.85,96.85,96.85,96.85,
2012-03-29,0,96.95,96.95,96.95,96.95,
2012-04-02,0,101.25,101.25,101.25,101.25,0.01K
2012-04-03,0,99.75,99.75,99.75,99.75,0.01K
2012-04-04,0,98.45,98.45,98.45,98.45,0.02K
2012-04-05,0,98.3,98.3,98.3,98.3,0.01K
2012-04-09,0,98.3,98.3,98.3,98.3,
2012-04-10,0,97.85,97.85,97.85,97.85,0.01K
2012-04-11,0,97.2,97.2,97.2,97.2,0.05K
2012-04-12,0,97.4,97.4,97.4,97.4,0.01K
2012-04-13,0,97.4,97.4,97.4,97.4,
2012-04-16,0,97.1,97.1,97.1,97.1,0.02K
2012-04-17,0,97.0,97.0,97.0,97.0,0.01K
2012-04-18,0,97.0,97.0,97.0,97.0,0.03K
2012-04-19,0,96.9,96.9,96.9,96.9,0.01K
2012-04-20,0,96.85,96.85,96.85,96.85,
2012-04-23,0,96.8,96.8,96.8,96.8,0.01K
2012-04-24,0,96.65,96.65,96.65,96.65,
2012-04-25,0,96.5,96.5,96.5,96.5,
2012-04-26,0,96.4,96.4,96.4,96.4,
2012-04-30,0,91.2,91.2,91.2,91.2,
2012-05-01,0,89.65,89.65,89.65,89.65,0.01K
2012-05-02,0,88.6,88.6,88.6,88.6,0.03K
2012-05-03,0,89.15,89.15,89.15,89.15,0.05K
2012-05-04,0,88.9,88.9,88.9,88.9,0.12K
2012-05-07,0,88.9,88.9,88.9,88.9,
2012-05-08,0,87.15,87.15,87.15,87.15,
2012-05-09,0,87.6,87.6,87.6,87.6,
2012-05-10,0,88.3,88.3,88.3,88.3,0.05K
2012-05-11,0,88.35,88.35,88.35,88.35,
2012-05-14,0,87.8,87.8,87.8,87.8,
2012-05-15,0,87.75,87.75,87.75,87.75,
2012-05-16,0,87.4,87.4,87.4,87.4,
2012-05-17,0,87.4,87.4,87.4,87.4,
2012-05-18,0,86.9,86.9,86.9,86.9,0.01K
2012-05-21,0,86.95,86.95,86.95,86.95,0.01K
2012-05-22,0,86.5,86.5,86.5,86.5,
2012-05-23,0,86.75,86.75,86.75,86.75,
2012-05-24,0,86.75,86.75,86.75,86.75,
2012-05-29,0,89.05,89.05,89.05,89.05,0.03K
2012-05-30,0,88.65,88.65,88.65,88.65,0.02K
2012-05-31,0,88.25,88.25,88.25,88.25,
2012-06-01,0,88.25,88.25,88.25,88.25,
2012-06-04,0,88.25,88.25,88.25,88.25,
2012-06-05,0,88.25,88.25,88.25,88.25,
2012-06-06,0,87.55,87.55,87.55,87.55,
2012-06-07,0,87.25,87.25,87.25,87.25,
2012-06-08,0,86.95,86.95,86.95,86.95,
2012-06-11,0,86.45,86.45,86.45,86.45,
2012-06-12,0,86.3,86.3,86.3,86.3,
2012-06-13,0,86.45,86.45,86.45,86.45,
2012-06-14,0,86.1,86.1,86.1,86.1,
2012-06-15,0,86.1,86.1,86.1,86.1,
2012-06-18,0,86.1,86.1,86.1,86.1,0.01K
2012-06-19,0,86.1,86.1,86.1,86.1,
2012-06-20,0,86.2,86.2,86.2,86.2,
2012-06-21,0,86.25,86.25,86.25,86.25,
2012-06-22,0,86.4,86.4,86.4,86.4,
2012-06-25,0,86.5,86.5,86.5,86.5,
2012-06-26,0,86.65,86.65,86.65,86.65,
2012-06-27,0,86.75,86.75,86.75,86.75,
2012-06-28,0,86.85,86.85,86.85,86.85,
2012-06-29,0,87.0,87.0,87.0,87.0,
2012-07-02,0,90.1,90.1,90.1,90.1,0.06K
2012-07-03,0,90.45,90.45,90.45,90.45,0.03K
2012-07-05,0,89.7,89.7,89.7,89.7,0.04K
2012-07-06,0,89.65,89.65,89.65,89.65,0.01K
2012-07-09,0,89.5,89.5,89.5,89.5,0.02K
2012-07-10,0,89.05,89.05,89.05,89.05,0.02K
2012-07-11,0,88.85,88.85,88.85,88.85,0.06K
2012-07-12,0,88.4,88.4,88.4,88.4,
2012-07-13,0,88.5,88.5,88.5,88.5,0.01K
2012-07-16,0,88.6,88.6,88.6,88.6,0.02K
2012-07-17,0,88.75,88.75,88.75,88.75,0.01K
2012-07-18,0,88.95,88.95,88.95,88.95,0.03K
2012-07-19,0,89.0,89.0,89.0,89.0,
2012-07-20,0,89.05,89.05,89.05,89.05,
2012-07-23,0,89.0,89.0,89.0,89.0,
2012-07-24,0,89.0,89.0,89.0,89.0,
2012-07-25,0,89.0,89.0,89.0,89.0,0.02K
2012-07-26,0,89.05,89.05,89.05,89.05,
2012-07-30,0,92.5,92.5,92.5,92.5,0.05K
2012-07-31,0,94.15,94.15,94.15,94.15,0.06K
2012-08-01,0,94.55,94.55,94.55,94.55,0.04K
2012-08-02,0,93.6,93.6,93.6,93.6,0.04K
2012-08-03,0,94.1,94.1,94.1,94.1,
2012-08-06,0,94.8,94.8,94.8,94.8,0.01K
2012-08-07,0,95.15,95.15,95.15,95.15,0.03K
2012-08-08,0,95.35,95.35,95.35,95.35,
2012-08-09,0,95.25,95.25,95.25,95.25,0.01K
2012-08-10,0,95.1,95.1,95.1,95.1,
2012-08-13,0,95.4,95.4,95.4,95.4,0.01K
2012-08-14,0,95.25,95.25,95.25,95.25,0.01K
2012-08-15,0,94.85,94.85,94.85,94.85,
2012-08-16,0,94.6,94.6,94.6,94.6,0.02K
2012-08-17,0,94.55,94.55,94.55,94.55,
2012-08-20,0,94.45,94.45,94.45,94.45,0.01K
2012-08-21,0,94.5,94.5,94.5,94.5,
2012-08-22,0,94.45,94.45,94.45,94.45,
2012-08-23,0,94.4,94.4,94.4,94.4,
2012-08-24,0,94.3,94.3,94.3,94.3,
2012-08-27,0,94.3,94.3,94.3,94.3,
2012-08-28,0,94.2,94.2,94.2,94.2,
2012-08-29,0,94.05,94.05,94.05,94.05,
2012-08-30,0,93.95,93.95,93.95,93.95,
2012-08-31,0,93.8,93.8,93.8,93.8,
2012-09-04,0,92.5,92.5,92.5,92.5,0.23K
2012-09-05,0,92.3,92.3,92.3,92.3,0.07K
2012-09-06,0,92.3,92.3,92.3,92.3,0.05K
2012-09-07,0,92.3,92.3,92.3,92.3,0.02K
2012-09-10,0,91.65,91.65,91.65,91.65,0.04K
2012-09-11,0,91.2,91.2,91.2,91.2,0.10K
2012-09-12,0,90.75,90.75,90.75,90.75,0.02K
2012-09-13,0,90.4,90.4,90.4,90.4,0.05K
2012-09-14,0,90.5,90.5,90.5,90.5,0.01K
2012-09-17,0,90.4,90.4,90.4,90.4,0.01K
2012-09-18,0,90.3,90.3,90.3,90.3,
2012-09-19,0,90.25,90.25,90.25,90.25,
2012-09-20,0,90.2,90.2,90.2,90.2,0.01K
2012-09-21,0,90.05,90.05,90.05,90.05,
2012-09-24,0,89.9,89.9,89.9,89.9,
2012-09-25,0,89.7,89.7,89.7,89.7,
2012-09-26,0,89.5,89.5,89.5,89.5,
2012-09-27,0,89.4,89.4,89.4,89.4,
2012-10-01,0,86.95,86.95,86.95,86.95,0.16K
2012-10-02,0,87.25,87.25,87.25,87.25,0.28K
2012-10-03,0,86.95,86.95,86.95,86.95,0.16K
2012-10-04,0,87.4,87.4,87.4,87.4,0.18K
2012-10-05,0,87.7,87.7,87.7,87.7,0.12K
2012-10-08,0,87.9,87.9,87.9,87.9,0.57K
2012-10-09,0,87.8,87.8,87.8,87.8,0.07K
2012-10-10,0,87.4,87.4,87.4,87.4,0.19K
2012-10-11,0,87.0,87.0,87.0,87.0,0.15K
2012-10-12,0,86.6,86.6,86.6,86.6,0.08K
2012-10-15,0,86.35,86.35,86.35,86.35,0.01K
2012-10-16,0,86.4,86.4,86.4,86.4,
2012-10-17,0,86.65,86.65,86.65,86.65,0.03K
2012-10-18,0,86.7,86.7,86.7,86.7,0.12K
2012-10-19,0,86.75,86.75,86.75,86.75,0.11K
2012-10-22,0,86.8,86.8,86.8,86.8,0.05K
2012-10-23,0,86.75,86.75,86.75,86.75,0.01K
2012-10-24,0,86.7,86.7,86.7,86.7,
2012-10-25,0,86.65,86.65,86.65,86.65,
2012-10-26,0,86.6,86.6,86.6,86.6,
2012-10-29,0,84.8,84.8,84.8,84.8,0.04K
2012-10-30,0,85.35,85.35,85.35,85.35,0.52K
2012-10-31,0,85.3,85.3,85.3,85.3,0.31K
2012-11-01,0,85.7,85.7,85.7,85.7,0.20K
2012-11-02,0,85.9,85.9,85.9,85.9,0.33K
2012-11-05,0,86.55,86.55,86.55,86.55,0.03K
2012-11-06,0,87.25,87.25,87.25,87.25,0.19K
2012-11-07,0,86.85,86.85,86.85,86.85,0.06K
2012-11-08,0,87.3,87.3,87.3,87.3,0.03K
2012-11-09,0,87.25,87.25,87.25,87.25,0.10K
2012-11-12,0,87.55,87.55,87.55,87.55,0.07K
2012-11-13,0,87.35,87.35,87.35,87.35,0.09K
2012-11-14,0,87.5,87.5,87.5,87.5,0.02K
2012-11-15,0,88.05,88.05,88.05,88.05,0.02K
2012-11-16,0,88.25,88.25,88.25,88.25,0.09K
2012-11-19,0,88.4,88.4,88.4,88.4,0.02K
2012-11-20,0,88.4,88.4,88.4,88.4,0.01K
2012-11-21,0,88.45,88.45,88.45,88.45,0.02K
2012-11-23,0,88.8,88.8,88.8,88.8,0.01K
2012-11-26,0,88.95,88.95,88.95,88.95,
2012-11-27,0,89.1,89.1,89.1,89.1,
2012-11-28,0,89.25,89.25,89.25,89.25,0.01K
2012-11-29,0,89.4,89.4,89.4,89.4,
2012-11-30,0,89.5,89.5,89.5,89.5,
2012-12-03,0,93.05,93.05,93.05,93.05,0.13K
2012-12-04,0,92.7,92.7,92.7,92.7,0.12K
2012-12-05,0,92.1,92.1,92.1,92.1,0.02K
2012-12-06,0,91.3,91.3,91.3,91.3,0.02K
2012-12-07,0,90.65,90.65,90.65,90.65,0.15K
2012-12-10,0,90.45,90.45,90.45,90.45,0.03K
2012-12-11,0,89.7,89.7,89.7,89.7,0.04K
2012-12-12,0,89.15,89.15,89.15,89.15,0.04K
2012-12-13,0,89.35,89.35,89.35,89.35,0.04K
2012-12-14,0,89.6,89.6,89.6,89.6,0.04K
2012-12-17,0,90.05,90.05,90.05,90.05,0.01K
2012-12-18,0,90.25,90.25,90.25,90.25,0.02K
2012-12-19,0,90.35,90.35,90.35,90.35,
2012-12-20,0,90.25,90.25,90.25,90.25,
2012-12-21,0,90.15,90.15,90.15,90.15,
2012-12-24,0,90.15,90.15,90.15,90.15,
2012-12-26,0,90.15,90.15,90.15,90.15,
2012-12-27,0,90.1,90.1,90.1,90.1,
2012-12-28,0,89.95,89.95,89.95,89.95,
2012-12-31,0,89.9,89.9,89.9,89.9,
2013-01-02,0,89.4,89.4,89.4,89.4,0.10K
2013-01-03,0,88.35,88.35,88.35,88.35,0.11K
2013-01-04,0,88.25,88.25,88.25,88.25,0.12K
2013-01-07,0,87.35,87.35,87.35,87.35,0.25K
2013-01-08,0,86.8,86.8,86.8,86.8,0.06K
2013-01-09,0,86.8,86.8,86.8,86.8,0.14K
2013-01-10,0,86.65,86.65,86.65,86.65,0.06K
2013-01-11,0,86.45,86.45,86.45,86.45,0.07K
2013-01-14,0,86.3,86.3,86.3,86.3,0.03K
2013-01-15,0,86.2,86.2,86.2,86.2,0.04K
2013-01-16,0,86.25,86.25,86.25,86.25,0.11K
2013-01-17,0,86.25,86.25,86.25,86.25,0.24K
2013-01-18,0,86.25,86.25,86.25,86.25,0.01K
2013-01-22,0,86.25,86.25,86.25,86.25,0.06K
